2025-03-27 04:39:03.322686: Олень переместился с (10, 7) в (11, 8). Голод: 1
2025-03-27 04:39:03.331682: Олень переместился с (14, 12) в (13, 11). Голод: 1
2025-03-27 04:39:03.340684: Олень переместился с (14, 6) в (14, 5). Голод: 1
2025-03-27 04:39:03.348685: Олень переместился с (0, 14) в (19, 14). Голод: 1
2025-03-27 04:39:03.357686: Олень переместился с (1, 11) в (2, 11). Голод: 1
2025-03-27 04:39:03.366682: Олень переместился с (15, 8) в (16, 8). Голод: 1
2025-03-27 04:39:03.374680: Олень переместился с (14, 7) в (14, 8). Голод: 1
2025-03-27 04:39:03.383687: Олень переместился с (6, 7) в (6, 6). Голод: 1
2025-03-27 04:39:03.392684: Олень переместился с (2, 10) в (3, 11). Голод: 1
2025-03-27 04:39:03.400724: Олень переместился с (7, 19) в (7, 0). Голод: 1
2025-03-27 04:39:03.409680: Олень переместился с (11, 2) в (10, 2). Голод: 1
2025-03-27 04:39:03.417720: Олень переместился с (4, 18) в (5, 17). Голод: 1
2025-03-27 04:39:03.426686: Олень переместился с (9, 13) в (8, 14). Голод: 1
2025-03-27 04:39:03.434796: Олень переместился с (9, 15) в (9, 16). Голод: 1
2025-03-27 04:39:03.443834: Олень переместился с (1, 9) в (0, 8). Голод: 1
2025-03-27 04:39:03.452798: Олень переместился с (15, 10) в (14, 9). Голод: 1
2025-03-27 04:39:03.460799: Олень переместился с (7, 5) в (6, 4). Голод: 1
2025-03-27 04:39:03.469825: Олень переместился с (12, 11) в (13, 11). Голод: 1
2025-03-27 04:39:03.477961: Олень переместился с (17, 19) в (17, 0). Голод: 1
2025-03-27 04:39:03.487045: Олень переместился с (6, 18) в (7, 19). Голод: 1
2025-03-27 04:39:03.495084: Олень переместился с (10, 3) в (10, 4). Голод: 1
2025-03-27 04:39:03.504039: Олень переместился с (4, 3) в (5, 2). Голод: 1
2025-03-27 04:39:03.513041: Олень переместился с (5, 13) в (6, 13). Голод: 1
2025-03-27 04:39:03.521044: Олень переместился с (5, 17) в (4, 17). Голод: 1
2025-03-27 04:39:03.530040: Олень переместился с (8, 4) в (9, 5). Голод: 1
2025-03-27 04:39:03.538221: Олень переместился с (9, 18) в (10, 18). Голод: 1
